codigo_inep,nome_escola,codigo_ibge,latitude,longitude,tem_rampa,tem_banheiro_pcd,acesso_total
25035568,EMEF BENEDITO CARNEIRO DA SILVA,2509008,-7.73603207,-38.14805731,False,False,False
25035576,EMEF CICERO RABELO NOGUEIRA,2509008,-7.72934796,-38.18180571,False,False,False
25035584,EMEF EUCLIDES TEIXEIRA CAMPOS,2509008,-7.64407064,-38.19253415,False,False,False
25035592,EMEF FERNANDO ADAO ELOI,2509008,-7.76466548,-38.16078775,False,False,False
25035673,EMEF MANOEL SANTANA DA SILVA,2509008,-7.68837201,-38.23940005,False,False,False
25035703,EMEF LUIZ DE SOUSA PRIMO,2509008,-7.63523979,-38.14862725,False,False,False
25035720,EMEF SITIO OLHO DAGUA DOS ANTONIOS,2509008,-7.78010087,-38.2072452,False,False,False
25035746,EMEF SEBASTIANA MARIA DA CONCEICAO,2509008,-7.73734808,-38.2409289,False,False,False
25035827,EMEF SITIO QUEDA,2509008,-7.747493,-38.15483,False,False,False
25035843,EMEF SAO JOAQUIM,2509008,-7.78600759,-38.24658905,False,False,False
25035908,EMEF DE MANAIRA,2509008,-7.70432252,-38.1574209,True,True,True
25035924,EMEF JOSE NICOLAU NOGUEIRA,2509008,-7.67432115,-38.16074294,False,False,False
25035932,EMEF JUVENCIO ANTAS,2509008,-7.649179,-38.12733,False,False,False
25035940,EMEF MANOEL LOPES DE SIQUEIRA,2509008,-7.7691323,-38.17788858,False,False,False
25035967,EMEF PROFESSOR CICERO RABELO NOGUEIRA,2509008,-7.70926383,-38.15443306,True,True,False
25036017,ECI MONSENHOR SEBASTIAO RABELO,2509008,-7.711829147,-38.15552252,True,True,False
25036106,EMEF MANOEL BARBOSA,2509008,-7.7428376,-38.16789314,False,False,False
25105698,EMEF MANOEL ANTONIO SIMAO,2509008,-7.6457199,-38.16277,False,False,False
25115839,EMEF NOSSA SENHORA DO CARMO,2509008,-7.76126393,-38.13913884,False,False,False
25118617,EMEF JOSE DELFINO DA ROCHA,2509008,-7.7467838,-38.1291573,False,False,False
25035754,EMEF SEBASTIANA DINO,2509008,-7.78677847,-38.29310309,False,False,False
25087975,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL INDIGENA TEODOLINO SOARES DE LIMA,2509057,-6.74309999,-34.94508712,True,False,False
25087983,EEEIFM ISAURA SOARES DE LIMA,2509057,-6.7335627,-34.9909495,False,False,False
25088084,EMEF CACIQUE MANOEL FRANCISCO,2509057,-6.71540294,-35.03919156,False,False,False
25088092,ESC MUL DE TRAMATAIA,2509057,-6.76348357,-34.95311201,False,False,False
25088106,EMEF DEPUTADO EDUARDO FERREIRA,2509057,-6.7172309,-34.94595174,True,False,False
25088114,EMEF CACIQUE JOAO FRANCISCO BERNARDO,2509057,-6.70632136,-35.0064496,False,False,False
25088181,EMIEF MARECHAL CANDIDO RONDON,2509057,-6.76336402,-34.95228831,False,False,False
25088203,EMIEF CACIQUE DOMINGOS BARBOSA DOS SANTOS,2509057,-6.74576898,-35.05729041,False,False,False
25088467,EMEF PROFª RAIMUNDA SOARES DE LIMA,2509057,-6.76937472,-35.01601696,True,True,False
25088475,ESC MUL IRACEMA SOARES DE FARIAS,2509057,-6.76067799,-35.0157125,True,False,False
25088483,EMEF PROFª EMILIA GOMES DA SILVA,2509057,-6.76864419,-35.01904542,True,True,False
